vorname,anzahl,geschlecht
Marie,128,w
Sophie,103,w
Alexander,74,m
Charlotte,69,w
Paul,67,m
Emma,59,w
Emilia,56,w
Emil,53,m
Anna,50,w
Maria,49,w
Sophia,49,w
Johanna,47,w
Luise,46,w
Elias,45,m
Maximilian,45,m
Theodor,44,m
Anton,43,m
Mia,41,w
Oskar,39,m
Karl,38,m
Ella,38,w
Felix,35,m
Lena,35,w
Jonas,34,m
Noah,33,m
Ben,32,m
Greta,32,w
Friedrich,31,m
Elisabeth,31,w
Hannah,31,w
Jakob,29,m
Jonathan,29,m
Louis,28,m
Luca,28,m
Theo,28,m
Amelie,27,w
Finn,27,m
Leon,27,m
Levi,27,m
Lukas,27,m
Elisa,26,w
Emily,26,w
Lina,26,w
Marlene,26,w
Pauline,26,w
Helena,25,w
Moritz,25,m
Mila,25,w
Tim,25,m
Valentin,25,m
Vincent,25,m
Lea,24,w
Leonie,24,w
Leo,24,m
Leonard,24,m
Luisa,23,w
Max,23,m
Frieda,22,w
Laura,22,w
Johann,22,m
Ida,21,w
Benjamin,21,m
Mika,21,m
Philipp,21,m
Julian,20,m
Liam,20,m
Lara,19,w
Pia,19,w
Bruno,19,m
David,19,m
Peter,19,m
Richard,19,m
Clara,18,w
Elise,18,w
Mathilda,18,w
Erik,18,m
Johannes,18,m
Samuel,18,m
Hanna,17,w
Klara,17,w
Valentina,17,w
Arthur,17,m
Fritz,17,m
Tom,17,m
Lucia,16,w
Luna,16,w
Paula,16,w
Rosa,16,w
Daniel,16,m
Henry,16,m
Matteo,16,m
Niklas,16,m
Antonia,15,w
Helene,15,w
Josephine,15,w
Katharina,15,w
Lilly,15,w
Rosalie,15,w
Florian,15,m
Gustav,15,m
Lennard,15,m
Leopold,15,m
Luis,15,m
Milan,15,m
Carlotta,14,w
Eva,14,w
Lotta,14,w
Louise,14,w
Mira,14,w
Fabian,14,m
Julius,14,m
Ole,14,m
Pepe,14,m
Alma,13,w
Elena,13,w
Frida,13,w
Leni,13,w
Melina,13,w
Nora,13,w
Adam,13,m
Gabriel,13,m
Linus,13,m
Maxim,13,m
Michael,13,m
Otto,13,m
Isabella,12,w
Maja,12,w
Matilda,12,w
Andreas,12,m
Carl,12,m
John,12,m
Konstantin,12,m
Luke,12,m
Ava,11,w
Elsa,11,w
Finja,11,w
Julia,11,w
Livia,11,w
Lucy,11,w
Margarete,11,w
Nele,11,w
Sarah,11,w
Adrian,11,m
Theresa,11,w
Christian,11,m
Tilda,11,w
Ferdinand,11,m
Georg,11,m
Hans,11,m
Henri,11,m
Hugo,11,m
Jan,11,m
Joshua,11,m
Justus,11,m
Marlon,11,m
Sebastian,11,m
Simon,11,m
Alexandra,10,w
Carla,10,w
Henriette,10,w
Isabel,10,w
Juna,10,w
Lia,10,w
Lisa,10,w
Magdalena,10,w
Mathilde,10,w
Merle,10,w
Olivia,10,w
Constantin,10,m
Ronja,10,w
Franz,10,m
Thea,10,w
Lucas,10,m
Victoria,10,w
Mattis,10,m
Nils,10,m
Thomas,10,m
Till,10,m
Alina,9,w
Fabienne,9,w
Josefine,9,w
Linda,9,w
Edgar,9,m
Lou,9,w
Juri,9,m
Louisa,9,w
Lasse,9,m
Martha,9,w
Martin,9,m
Mina,9,w
Oliver,9,m
Nina,9,w
Tobias,9,m
Stella,9,w
Toni,9,m
Amalia,8,w
Caspar,8,m
Aurora,8,w
Damian,8,m
Elli,8,w
Finley,8,m
Malou,8,w
Fynn,8,m
Paulina,8,w
Hannes,8,m
Romy,8,w
Jasper,8,m
Sofia,8,w
Kilian,8,m
Sofie,8,w
Lenny,8,m
Viktoria,8,w
Oscar,8,m
Raphael,8,m
Robert,8,m
Annika,7,w
Aurelia,7,w
Elina,7,w
Aaron,7,m
Ellen,7,w
Albert,7,m
Grace,7,w
Alfred,7,m
Isabell,7,w
August,7,m
Jasmin,7,w
Bennet,7,m
Julie,7,w
Dean,7,m
Karla,7,w
Enno,7,m
Lotte,7,w
Jack,7,m
Marianne,7,w
Jacob,7,m
Marleen,7,w
James,7,m
Marta,7,w
Jannis,7,m
Maya,7,w
Lennox,7,m
Ruby,7,w
Magnus,7,m
Zoe,7,w
Marvin,7,m
Zoé,7,w
Matheo,7,m
Mats,7,m
Nico,7,m
Silas,7,m
Christina,6,w
Diana,6,w
Elea,6,w
Flora,6,w
Benedikt,6,m
Helga,6,w
Carlos,6,m
Joleen,6,w
Emilian,6,m
Leah,6,w
Fiete,6,m
Lilli,6,w
Frank,6,m
Lucie,6,w
Frederik,6,m
Mika,6,w
Henrik,6,m
Milena,6,w
Johan,6,m
Joris,6,m
Malte,6,m
Manuel,6,m
Matti,6,m
Milo,6,m
Mio,6,m
Nicolas,6,m
Patrick,6,m
Quentin,6,m
Timo,6,m
Alice,5,w
Amélie,5,w
Annabelle,5,w
Anouk,5,w
Bella,5,w
Carolin,5,w
Eliza,5,w
Florentine,5,w
Franziska,5,w
Hedi,5,w
Hermine,5,w
Arne,5,m
Karlotta,5,w
Charlie,5,m
Kate,5,w
Connor,5,m
Leonore,5,w
Emilio,5,m
Leyla,5,w
Erwin,5,m
Lili,5,w
Heinrich,5,m
Linnea,5,w
Jannes,5,m
Mara,5,w
Janosch,5,m
Mariella,5,w
Jaro,5,m
Mascha,5,w
Kasimir,5,m
Sara,5,w
Leonardo,5,m
Tabea,5,w
Leonhard,5,m
Vanessa,5,w
Levin,5,m
Wanda,5,w
Lio,5,m
Wilhelmine,5,w
Maik,5,m
Maria,5,m
Mattheo,5,m
Mike,5,m
Nathan,5,m
Noel,5,m
Philip,5,m
Piet,5,m
René,5,m
Rocco,5,m
Sam,5,m
Stefan,5,m
Viktor,5,m
Walter,5,m
Wilhelm,5,m
Ada,4,w
Alexis,4,w
Alva,4,w
Amina,4,w
Anika,4,w
Ann,4,w
Annabell,4,w
Anne,4,w
Anni,4,w
Carolina,4,w
Caroline,4,w
Cataleya,4,w
Christel,4,w
Emelie,4,w
Emely,4,w
Amadeus,4,m
Emilie,4,w
Amandus,4,m
Friederike,4,w
André,4,m
Fritzi,4,w
Aron,4,m
Gerda,4,w
Bo,4,m
Hildegard,4,w
Brian,4,m
Iris,4,w
Béla,4,m
Irma,4,w
Carlo,4,m
Juliane,4,w
Casper,4,m
June,4,w
Charly,4,m
Karoline,4,w
Damon,4,m
Kira,4,w
Dominik,4,m
Käthe,4,w
Elia,4,m
Lene,4,w
Elyas,4,m
Leona,4,w
Ilja,4,m
Liah,4,w
Jamie,4,m
Lilith,4,w
Janne,4,m
Lisbeth,4,w
Jascha,4,m
Liv,4,w
Jason,4,m
Lola,4,w
Jayden,4,m
Madeleine,4,w
Joel,4,m
Marla,4,w
Klaus,4,m
Mary,4,w
Kurt,4,m
Melissa,4,w
Lars,4,m
Milla,4,w
Leander,4,m
Mona,4,w
Leonas,4,m
Neele,4,w
Lev,4,m
Philine,4,w
Lino,4,m
Rose,4,w
Lionel,4,m
Ruth,4,w
Lorenz,4,m
Samantha,4,w
Lovis,4,m
Selma,4,w
Marco,4,m
Tara,4,w
Marten,4,m
Yuna,4,w
Matthes,4,m
Matthias,4,m
Nick,4,m
Niclas,4,m
Pascal,4,m
Phil,4,m
Pierre,4,m
Rainer,4,m
Reinhard,4,m
Robin,4,m
Roman,4,m
Ruben,4,m
Rudolf,4,m
Ryan,4,m
Tristan,4,m
Ulrich,4,m
Victor,4,m
Willi,4,m
Alicia,3,w
Amelia,3,w
Amira,3,w
Amy,3,w
Ana,3,w
Angelina,3,w
Anita,3,w
Annelie,3,w
Ashley,3,w
Augusta,3,w
Celine,3,w
Claudia,3,w
Coco,3,w
Cornelia,3,w
Dorothea,3,w
Elaina,3,w
Eleni,3,w
Elin,3,w
Aiden,3,m
Emilya,3,w
Alex,3,m
Emmi,3,w
Ali,3,m
Felicia,3,w
Alwin,3,m
Fernanda,3,w
Amir,3,m
Fiona,3,w
Anselm,3,m
Franka,3,w
Ansgar,3,m
Hanni,3,w
Antonio,3,m
Hedda,3,w
Arian,3,m
Hedwig,3,w
Armand,3,m
Isabelle,3,w
Arnim,3,m
Ivy,3,w
Artur,3,m
Jane,3,w
Arvid,3,m
Jessica,3,w
Bastian,3,m
Jette,3,w
Bela,3,m
Joy,3,w
Bennett,3,m
Juno,3,w
Bernhard,3,m
Jutta,3,w
Björn,3,m
Lana,3,w
Christopher,3,m
Leandra,3,w
Collin,3,m
Leony,3,w
Conner,3,m
Lieselotte,3,w
Davis,3,m
Liliana,3,w
Diego,3,m
Lily,3,w
Eliah,3,m
Liselotte,3,w
Elmar,3,m
Lore,3,w
Felipe,3,m
Loreen,3,w
Frederick,3,m
Lydia,3,w
Gregor,3,m
Lysann,3,w
Hanno,3,m
Malia,3,w
Heinz,3,m
Malin,3,w
Hendrik,3,m
Malina,3,w
Henning,3,m
Marina,3,w
Immanuel,3,m
Marlen,3,w
Jake,3,m
Meena,3,w
Jesper,3,m
Melody,3,w
Jesse,3,m
Nicole,3,w
Jonah,3,m
Pina,3,w
Joschua,3,m
Sabine,3,w
Jürgen,3,m
Samira,3,w
Kalle,3,m
Sandra,3,w
Kjell,3,m
Sonia,3,w
Konrad,3,m
Stephanie,3,w
Leandro,3,m
Summer,3,w
Leif,3,m
Tamina,3,w
Lian,3,m
Tessa,3,w
Lias,3,m
Theodora,3,w
Lothar,3,m
Ursula,3,w
Ludwig,3,m
Valerie,3,w
Mael,3,m
Ylvi,3,w
Malik,3,m
Marc,3,m
Marcus,3,m
Mario,3,m
Mark,3,m
Mateo,3,m
Mathis,3,m
Maurice,3,m
Maximus,3,m
Michel,3,m
Miran,3,m
Neo,3,m
Nicklas,3,m
Odin,3,m
Ragnar,3,m
Rio,3,m
Steffen,3,m
Steve,3,m
Thees,3,m
Thore,3,m
Titus,3,m
Tony,3,m
Vito,3,m
Werner,3,m
Wolfgang,3,m
Aaliyah,2,w
Aischa,2,w
Aleksandra,2,w
Alexa,2,w
Alissa,2,w
Amanda,2,w
An,2,w
Anastasia,2,w
Andreea,2,w
Anh,2,w
Annemarie,2,w
Annie,2,w
Aylin,2,w
Barbara,2,w
Beatrice,2,w
Betty,2,w
Birgit,2,w
Cara,2,w
Carmen,2,w
Carola,2,w
Charlott,2,w
Charly,2,w
Cheyenne,2,w
Christin,2,w
Claire,2,w
Ahmed,2,m
Dana,2,w
Alessio,2,m
Diamond,2,w
Amaury,2,m
Ecrin,2,w
Anthony,2,m
Eleanor,2,w
Antoine,2,m
Eleonore,2,w
Aram,2,m
Elif,2,w
Ari,2,m
Elly,2,w
Aslan,2,m
Eloise,2,w
Augustin,2,m
Elora,2,w
Aurel,2,m
Emma-Sophie,2,w
Axel,2,m
Enni,2,w
Bao,2,m
Enya,2,w
Benedict,2,m
Erika,2,w
Benno,2,m
Erna,2,w
Bjarne,2,m
Estelle,2,w
Carsten,2,m
Evelin,2,w
Charles,2,m
Eveline,2,w
Colin,2,m
Ewa,2,w
Cornelius,2,m
Felina,2,w
Danilo,2,m
Feline,2,w
Dario,2,m
Fenja,2,w
Darius,2,m
Fiene,2,w
Dominic,2,m
Finnja,2,w
Don,2,m
Frances,2,w
Eddie,2,m
Freya,2,w
Ede,2,m
Freyja,2,w
Eduard,2,m
Gabriele,2,w
Edwin,2,m
Hailey,2,w
Efe,2,m
Hazel,2,w
Eli,2,m
Helen,2,w
Elliot,2,m
Henny,2,w
Emir,2,m
Henrike,2,w
Enrico,2,m
Hevin,2,w
Eric,2,m
Ilayda,2,w
Erich,2,m
Irmgard,2,w
Evan,2,m
Isabela,2,w
Filip,2,m
Isalie,2,w
Fin,2,m
Jacqueline,2,w
Finnick,2,m
Janne,2,w
Finnlay,2,m
Jeanne,2,w
Flynn,2,m
Jella,2,w
Francesco,2,m
Jessy,2,w
Fred,2,m
Joana,2,w
Fridolin,2,m
Jolene,2,w
Gerd,2,m
Jolie,2,w
Gia,2,m
Jolien,2,w
Günter,2,m
Jolin,2,w
Hanns,2,m
Joline,2,w
Herbert,2,m
Jona,2,w
Horst,2,m
Joséphine,2,w
Ilay,2,m
Joyce,2,w
Ingo,2,m
Juli,2,w
Jannik,2,m
Julika,2,w
Jari,2,m
Julina,2,w
Jaron,2,m
Jüli,2,w
Jay,2,m
Karin,2,w
Jean,2,m
Karina,2,w
Jens,2,m
Karolina,2,w
Johnny,2,m
Katrin,2,w
Jonte,2,m
