vorname,anzahl,geschlecht,position
Marie,37,w,2
Sophie,34,w,2
Emma,29,w,1
Emil,26,m,1
Leon,25,m,1
Charlotte,25,w,1
Mia,22,w,1
Emilia,21,w,1
Alexander,20,m,2
Mila,19,w,1
Anton,18,m,1
Jonas,18,m,1
Oskar,18,m,1
Milan,17,m,1
Amelie,17,w,1
Paul,17,m,1
Anna,17,w,1
Ella,17,w,1
Charlotte,16,w,2
Maria,16,w,2
Ben,16,m,1
Elias,16,m,1
Felix,16,m,1
Liam,16,m,1
Greta,15,w,1
Lina,15,w,1
Alexander,15,m,1
Maximilian,15,m,1
Frieda,14,w,1
Sophia,14,w,1
Finn,14,m,1
Mika,14,m,1
Theodor,14,m,1
Maximilian,13,m,2
Emilia,13,w,2
Hannah,13,w,1
Johanna,13,w,1
Juna,13,w,1
Lilly,13,w,1
Karl,13,m,1
Mathilda,13,w,1
Luca,13,m,1
Noah,13,m,1
Elias,12,m,2
Ida,12,w,1
Lara,12,w,1
Luisa,12,w,1
Leonard,11,m,1
Louis,11,m,1
Emily,11,w,1
Lukas,11,m,1
Hanna,11,w,1
Niklas,11,m,1
Lea,11,w,1
Theo,11,m,1
Maria,11,w,1
Vincent,11,m,1
Nele,11,w,1
Stella,11,w,1
Michael,10,m,2
Arthur,10,m,1
Benjamin,10,m,1
Elena,10,w,1
Daniel,10,m,1
Lena,10,w,1
Jakob,10,m,1
Leonie,10,w,1
Julian,10,m,1
Leo,10,m,1
Mats,10,m,1
Tim,10,m,1
Luise,9,w,2
Elisabeth,9,w,1
Luna,9,w,1
Marie,9,w,1
Melina,9,w,1
Damian,9,m,1
Mira,9,w,1
David,9,m,1
Erik,9,m,1
Linus,9,m,1
Michael,9,m,1
Oskar,8,m,2
Peter,8,m,2
Amelia,8,w,1
Elisa,8,w,1
Lucy,8,w,1
Merle,8,w,1
Fabian,8,m,1
Paula,8,w,1
Fritz,8,m,1
Pauline,8,w,1
Max,8,m,1
Sophie,8,w,1
Maxim,8,m,1
Mohammad,8,m,1
Philipp,8,m,1
Emil,7,m,2
Luca,7,m,2
Alina,7,w,1
Amina,7,w,1
Amy,7,w,1
Adam,7,m,1
Fiona,7,w,1
Adrian,7,m,1
Helena,7,w,1
Constantin,7,m,1
Isabella,7,w,1
Jan,7,m,1
Nora,7,w,1
Jannis,7,m,1
Paulina,7,w,1
Johann,7,m,1
Sofia,7,w,1
Levi,7,m,1
Mateo,7,m,1
Mohammed,7,m,1
Nils,7,m,1
Pepe,7,m,1
Raphael,7,m,1
Till,7,m,1
Elisabeth,6,w,2
Helene,6,w,2
Andreas,6,m,2
Karl,6,m,2
Louis,6,m,2
Amalia,6,w,1
Anastasia,6,w,1
Clara,6,w,1
Klara,6,w,1
Leni,6,w,1
Lia,6,w,1
Livia,6,w,1
Antonio,6,m,1
Lotta,6,w,1
Charlie,6,m,1
Lotte,6,w,1
Fiete,6,m,1
Mina,6,w,1
Fynn,6,m,1
Olivia,6,w,1
Hugo,6,m,1
Lio,6,m,1
Matteo,6,m,1
Milo,6,m,1
Moritz,6,m,1
Nick,6,m,1
