vorname,anzahl,geschlecht
Marie,25,w
Sophie,25,w
Alexander,16,m
Emma,16,w
Felix,15,m
Mia,14,w
Ben,13,m
Elias,13,m
Leon,13,m
Emily,13,w
Maximilian,11,m
Paul,11,m
Charlotte,10,w
Emilia,10,w
Joel,10,m
Lea,10,w
John,10,m
Luca,10,m
Anna,8,w
Johanna,8,w
Julian,8,m
Leonie,8,w
Louis,8,m
Maria,8,w
Noah,8,m
Sofia,8,w
Jonas,7,m
Luise,7,w
Melina,7,w
Jan,6,m
Jayden,6,m
Hannah,6,w
Lukas,6,m
Isabella,6,w
Tom,6,m
Lilly,6,w
Paula,6,w
Benjamin,5,m
Daniel,5,m
Alina,5,w
David,5,m
Amelie,5,w
Emil,5,m
Elisabeth,5,w
Fabian,5,m
Fabienne,5,w
Finn,5,m
Helena,5,w
Jason,5,m
Lara,5,w
Jonathan,5,m
Leni,5,w
Linus,5,m
Mila,5,w
Maxim,5,m
Nele,5,w
Mika,5,m
Sophia,5,w
Noel,5,m
Annabelle,4,w
Florian,4,m
Charleen,4,w
Friedrich,4,m
Greta,4,w
Hannes,4,m
Helene,4,w
Karl,4,m
Isabell,4,w
Lennard,4,m
Jasmin,4,w
Lennox,4,m
Julia,4,w
Lucas,4,m
Laura,4,w
Luis,4,m
Mathilda,4,w
Mark,4,m
Nicole,4,w
Oliver,4,m
Sarah,4,w
Oskar,4,m
Pascal,4,m
Philipp,4,m
Simon,4,m
Till,4,m
Tim,4,m
Alexandra,3,w
Annika,3,w
Bảo,3,w
Ella,3,w
Emelie,3,w
Emilie,3,w
Anh,3,m
Frieda,3,w
Anton,3,m
Hanna,3,w
Arne,3,m
Ida,3,w
Arthur,3,m
Joleen,3,w
Christian,3,m
Jolie,3,w
Christopher,3,m
Jolina,3,w
Dominik,3,m
Josefine,3,w
Finley,3,m
Katharina,3,w
Fynn,3,m
Klara,3,w
Henry,3,m
Lia,3,w
Johannes,3,m
Lina,3,w
Kai,3,m
Luisa,3,w
Leonard,3,m
Miley,3,w
Levin,3,m
Nina,3,w
Liam,3,m
Nora,3,w
Marco,3,m
Pauline,3,w
Marlon,3,m
Pia,3,w
Maurice,3,m
Ronja,3,w
Max,3,m
Samira,3,w
Pepe,3,m
Sina,3,w
Raphael,3,m
Sophie-Marie,3,w
Robert,3,m
Tamina,3,w
Sebastian,3,m
Theresa,3,w
Til,3,m
Valentina,3,w
Zoey,3,w
Alex,2,m
Andreas,2,m
Aileen,2,w
Anik,2,m
Alicia,2,w
Artur,2,m
Amelié,2,w
Baran,2,m
Amina,2,w
Brian,2,m
Amira,2,w
Constantin,2,m
Anastasia,2,w
Devon,2,m
Angelina,2,w
Elyas,2,m
Annabell,2,w
Georg,2,m
Annalena,2,w
Hans,2,m
Antonia,2,w
Henri,2,m
Arina,2,w
Jaden,2,m
Ayleen,2,w
Jamie,2,m
Beritan,2,w
Jaron,2,m
Betty,2,w
Jean,2,m
Carolin,2,w
Jens,2,m
Celina,2,w
Johnny,2,m
Cheyenne,2,w
Joél,2,m
Christin,2,w
Julien,2,m
Clara,2,w
Julius,2,m
Elisa,2,w
Konstantin,2,m
Ellie,2,w
Lian,2,m
Eva,2,w
Lias,2,m
Finja,2,w
Lio,2,m
Gina,2,w
Magnus,2,m
Haylie,2,w
Malte,2,m
Hedwig,2,w
Marc,2,m
Ilona,2,w
Marek,2,m
Ina,2,w
Markus,2,m
Jane,2,w
Martin,2,m
Jolien,2,w
Matteo,2,m
Josephine,2,w
Merlin,2,m
Joyce,2,w
Michael,2,m
Juna,2,w
Miguel,2,m
Kalea,2,w
Nikita,2,m
Karolina,2,w
Niklas,2,m
Kate,2,w
Nikolas,2,m
Kaur,2,w
Nils,2,m
Kiara,2,w
Nino,2,m
Kira,2,w
Norbert,2,m
Laila,2,w
Oscar,2,m
Laureen,2,w
Rolf,2,m
Lena,2,w
Sam,2,m
Lisa,2,w
Sascha,2,m
Luna,2,w
Scott,2,m
Maja,2,w
Steffen,2,m
Malia,2,w
Steve,2,m
Mara,2,w
Steven,2,m
Margarethe,2,w
Theo,2,m
Marleen,2,w
Thomas,2,m
Marlena,2,w
Timm,2,m
Maya,2,w
Tobias,2,m
Melissa,2,w
Toni,2,m
Merle,2,w
Uwe,2,m
Milana,2,w
Viktor,2,m
Miriam,2,w
Willi,2,m
Ngọc,2,w
William,2,m
Olivia,2,w
Yusuf,2,m
Samantha,2,w
Đức,2,m
Saphira,2,w
Sofie,2,w
Stella,2,w
Summer,2,w
Victoria,2,w
Viktoria,2,w
Yasmin,2,w
Zoe,2,w
